anio;trimestre;provincia;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares
2020;4;La Pampa;10;9009;58945;15432;12194;1315;96895;2980;5540;70184;8124;6562;2396;6257;2052;96895;81.77
2020;4;La Rioja;13;17513;34984;1;2500;300;52778;180;10;36906;606;4633;1810;4979;0;52778;50.11
2020;4;Mendoza;11;91842;68364;36083;18331;8330;215453;280;400;146312;11172;40396;3378;11557;2057;215453;38.63
2020;4;Misiones;25;49462;79855;6589;4359;6896;147161;510;5240;39988;26078;26445;1481;32264;70001;147161;42.64
2020;4;Neuquen;34;30468;70614;13732;17689;6320;133135;1160;3270;56434;8478;5791;5493;50776;5072;133135;67.0
2020;4;Rio Negro;22;48991;42022;17826;13994;18377;141210;1250;4660;70305;4153;13131;3512;29372;200146;141210;61.09
2020;4;Salta;25;56659;87817;30604;5858;6452;187390;1090;5140;41443;68829;15188;8291;46697;60319;187390;54.04
2020;4;San Juan;6;40072;7004;6599;10468;8453;72596;250;1940;61316;7400;5126;3320;275;40588;72596;36.32
2020;4;San Luis;21;8417;11767;27;63019;36205;119435;580;0;14020;349;2688;62239;22;360918;119435;81.68
2020;4;Santa Cruz;7;12347;19657;1041;4659;297;40674;470;0;27173;4382;6634;1033;647;75800;40674;37.0
2020;4;Santa Fe;27;287271;414746;62692;38712;17392;820813;5180;8910;206372;203793;94246;65145;226246;230602;820813;73.58
2020;4;Santiago Del Estero;11;26812;70522;570;5169;3596;106669;1230;9090;34518;5759;4666;4110;4520;30932;106669;43.75
2020;4;Tierra Del Fuego;8;12853;26439;6;0;3160;39614;170;0;21881;6119;3497;4880;922;6069;39614;76.27
2020;4;Tucuman;36;149322;11150;68043;1834;7400;231089;290;970;44095;54334;32155;4105;93594;2068;231089;54.78
2020;3;Buenos Aires;48;653930;2384557;749087;94162;55541;3937277;37542;31514;1113823;23471;219772;194248;2085815;190853;3937277;67.66
2020;3;Capital Federal;64;170375;1129573;39417;3936;29374;1372675;2640;3120;162222;85083;68753;78028;977766;24700;1372675;107.68
2020;3;Catamarca;37;26868;3690;16857;2610;2228;49904;630;0;8276;8768;11195;5620;18886;20154;49904;47.16
2020;3;Chaco;31;45745;58825;20675;6706;2003;133954;3080;1120;24675;21639;27546;13751;38729;70194;133954;41.54
2020;3;Chubut;7;45761;39386;2897;23216;18767;130027;1580;1090;87559;22114;12217;2818;1110;30942;130027;68.34
2020;3;Cordoba;34;276360;430771;102217;48368;9756;867472;1680;3064;218599;124833;84236;63823;361021;110728;867472;75.22
2020;3;Corrientes;24;50858;58681;2960;5513;5379;123391;720;5270;35190;23315;25308;8615;25344;5002;123391;41.75
2020;3;Entre Rios;22;87892;106950;13954;20379;1232;241495;1300;2911;66648;51478;40797;14377;49395;150759;241495;58.19
2020;3;Formosa;18;21790;10003;2000;15023;3930;49209;3910;1510;23163;7432;7125;9910;8219;10737;49209;31.91
2020;3;Jujuy;22;32611;57682;11112;9520;4371;106728;550;1820;32131;10566;45198;2930;15238;30065;106728;54.04
2020;3;La Pampa;11;9015;56845;14677;11893;1305;93735;2930;8100;66695;782;5577;2189;6322;40029;93735;79.26
2020;3;La Rioja;12;17346;34984;1;2500;350;52616;210;10;37105;5955;466;1240;4748;200;52616;50.12
2020;3;Mendoza;10;91908;64672;32817;17523;8680;207788;580;400;141404;12123;42433;3448;8237;4500;207788;37.35
